telegram_poll_id,question_id
5841669707454743455,115
5841504681926329132,114
5841504681926329133,115
5841210231853417396,116
5841210231853417397,117
5841669707454743456,116
5841669707454743457,117
5841504681926329137,116
5841504681926329138,117
5841210231853417400,118
5841210231853417401,119
5841669707454743459,118
5841669707454743460,119
5841504681926329139,118
5841504681926329140,119
5841210231853417402,120
5841210231853417403,121
5841210231853417404,122
5841669707454743462,120
5841669707454743463,121
5841669707454743464,122
5841504681926329142,120
5841504681926329143,121
5841504681926329144,122
5841210231853417405,123
5841210231853417406,124
5841210231853417407,125
5841669707454743466,123
5841210231853417408,126
5841210231853417409,127
5841210231853417410,128
5841669707454743467,126
5841669707454743468,127
5841669707454743469,128
5841504681926329147,126
5841504681926329148,127
5841504681926329149,128
5843462031667102570,129
5843462031667102571,130
5843462031667102572,131
5841669707454743470,129
5841669707454743471,130
5841669707454743472,131
5841504681926329150,129
5841504681926329151,130
5841504681926329152,131
5843462031667102574,132
5843462031667102575,133
5843462031667102576,134
5841669707454743473,132
5841669707454743474,133
5841669707454743475,134
5841504681926329153,132
5841504681926329154,133
5841504681926329155,134
5843462031667102577,135
5843462031667102578,136
5843462031667102579,137
5841669707454743476,135
5841669707454743477,136
5841669707454743478,137
5841504681926329156,135
5841504681926329157,136
5841504681926329158,137
